HostName,TdfName,mno,no,lng,lat,workStatus
北京,门头沟,10,101,115.608,39.9423,1
北京,房山(北京),10,102,115.903,39.608,1
北京,平谷,10,103,117.01,40.116,1
北京,延庆,10,104,116.149,40.5265,1
北京,密云,10,105,117.344,40.648,1
北京,怀柔,10,106,116.614,40.9015,1
北京,西集,10,107,116.873,39.8053,1
北京,兴寿,10,108,116.408,40.2264,0
山西,忻州站,12,101,112.706,38.3665,1
山西,繁峙站,12,102,113.281,39.199,1
山西,五台站,12,103,113.233,38.7025,1
山西,保德站,12,104,111.077,39.0015,1
山西,岚县站,12,105,111.687,38.276,1
山西,离石站,12,106,111.184,37.5327,1
山西,太谷站,12,107,112.629,37.4149,1
山西,灵石站,12,108,111.668,36.9665,1
山西,陵川站,12,109,113.295,35.8174,1
山西,阳城站,12,110,112.406,35.5074,1
山西,夏县站,12,111,111.266,35.2508,1
山西,大同站,12,112,113.23,40.0487,1
山西,灵丘站,12,113,114.225,39.4099,1
山西,天镇站,12,114,114.077,40.4353,1
山西,吉县站,12,115,110.684,36.1008,1
山西,浮山站,12,116,111.855,35.9802,0
山西,朔州站,12,117,112.422,39.3256,1
山西,右玉站,12,118,112.42,39.9476,1
山西,襄垣站,12,119,113.035,36.6561,1
山西,阳泉站,12,120,113.512,37.8389,1
河北,石家庄,13,101,114.647,38.0396,1
河北,保定,13,102,115.502,38.8519,1
河北,沧州,13,103,116.837,38.3276,1
河北,衡水,13,104,115.705,37.8181,1
河北,阜平,13,105,114.197,38.8354,1
河北,涞源,13,106,114.683,39.3566,1
河北,饶阳,13,107,115.717,38.2306,1
河北,内丘,13,108,114.574,37.3007,1
河北,大名,13,109,115.16,36.3294,0
河北,邯郸,13,110,114.42,36.6333,0
内蒙古,集宁,14,1,112.56,41,0
内蒙古,乌海,14,10,106.832,39.6686,0
内蒙古,鄂尔多斯(新),14,101,109.788,39.5955,1
内蒙古,包头(新),14,102,109.881,40.651,1
内蒙古,呼和浩特(新),14,103,111.649,40.8257,1
内蒙古,乌兰察布(新),14,104,112.504,40.5319,1
内蒙古,薛家湾(新),14,105,111.293,40.0894,1
内蒙古,乌拉特中旗,14,11,108.504,41.5838,1
内蒙古,赛汗,14,12,112.651,42.7493,0
内蒙古,四子王旗,14,13,111.673,41.5297,0
内蒙古,锡林浩特,14,14,116.084,43.9443,0
内蒙古,多伦,14,15,116.467,42.1977,0
内蒙古,镶黄旗,14,16,113.844,42.226,0
内蒙古,阿拉善左旗,14,17,104.852,40.1385,1
内蒙古,乌审旗,14,20,108.822,38.616,0
内蒙古,西乌,14,21,117.617,44.598,0
内蒙古,诺日公,14,23,104.852,40.1385,0
内蒙古,临河,14,6,102.768,39.434,1
内蒙古,乌兰木伦,14,7,110.114,39.3414,0
内蒙古,白云鄂博,14,8,109.968,41.7727,1
内蒙古,杭锦旗,14,9,108.736,39.8311,0
山东,东明,15,101,115.083,35.3191,1
