时间,微秒,主机号,站号,方向,强度,回击,存盘时间,ID,ID_TDFV20,FLAG
2020-06-14 23:59:59.000,336448,66,9,48.8,-48.5,1,2020-06-14 23:59:55.260,714774250,NULL,38
2020-06-14 23:59:59.000,1127618,66,9,44.3,-35.7,1,2020-06-14 23:59:55.213,714774246,NULL,38
2020-06-14 23:59:59.000,1133064,66,9,48.3,-40.2,1,2020-06-14 23:59:55.260,714774252,NULL,38
2020-06-14 23:59:59.000,1161322,93,6,51.8,-33.3,1,2020-06-14 23:59:59.410,714774430,NULL,38
2020-06-14 23:59:59.000,1830342,84,103,110.0,48.5,200,2020-06-15 00:00:27.457,714773109,259861345,0
2020-06-14 23:59:59.000,2049505,195,131,264.0,-183.9,200,2020-06-14 23:59:26.693,714773056,NULL,38
2020-06-14 23:59:59.000,2049727,195,138,347.0,-152.2,200,2020-06-14 23:59:26.490,714773051,NULL,38
2020-06-14 23:59:59.000,2052731,195,134,346.0,-63.9,200,2020-06-14 23:59:27.350,714773084,NULL,38
2020-06-14 23:59:59.000,2054570,195,136,333.0,-38.3,200,2020-06-14 23:59:27.460,714773089,NULL,38
2020-06-14 23:59:59.000,2061915,94,28,212.1,-21.3,1,2020-06-14 23:59:27.570,714773093,NULL,38
2020-06-14 23:59:59.000,2081175,75,121,297.0,-47.8,200,2020-06-14 23:59:11.497,714773045,NULL,40
2020-06-14 23:59:59.000,2088786,93,4,253.9,-23.7,1,2020-06-14 23:59:28.690,714773133,NULL,38
2020-06-14 23:59:59.000,2158710,93,6,58.1,-36.7,1,2020-06-14 23:59:59.517,714774436,NULL,38
2020-06-14 23:59:59.000,2933457,66,9,51.0,-53.1,1,2020-06-14 23:59:55.417,714774264,NULL,38
2020-06-14 23:59:59.000,3117110,66,9,53.0,-42.5,1,2020-06-14 23:59:55.477,714774269,NULL,38
2020-06-14 23:59:59.000,3316804,66,9,53.9,-43.4,1,2020-06-14 23:59:55.667,714774285,NULL,38
2020-06-14 23:59:59.000,3370006,93,6,54.4,-35.8,1,2020-06-14 23:59:59.610,714774442,NULL,38
2020-06-14 23:59:59.000,3741573,93,12,186.0,-53.6,1,2020-06-14 23:59:27.817,714773100,NULL,38
2020-06-14 23:59:59.000,3934501,66,9,46.4,-44.6,1,2020-06-14 23:59:55.727,714774286,NULL,38
2020-06-14 23:59:59.000,4115313,84,104,52.0,-27.7,200,2020-06-15 00:00:27.487,714773111,259861346,0
2020-06-14 23:59:59.000,4559380,93,6,55.5,-33.7,1,2020-06-14 23:59:59.673,714774446,NULL,38
2020-06-14 23:59:59.000,4732760,71,106,56.0,-19.1,200,2020-06-15 00:00:26.270,714773072,259861341,0
2020-06-14 23:59:59.000,4915570,66,9,43.8,-38.5,1,2020-06-14 23:59:56.010,714774311,NULL,38
2020-06-14 23:59:59.000,5531313,66,9,51.8,-50.2,1,2020-06-14 23:59:56.070,714774316,NULL,38
2020-06-14 23:59:59.000,5629169,71,106,50.0,-38.4,200,2020-06-15 00:00:26.303,714773074,259861342,0
2020-06-14 23:59:59.000,5757444,93,6,53.9,-35.2,1,2020-06-15 00:00:00.017,714774457,NULL,38
2020-06-14 23:59:59.000,5930281,66,9,48.5,-43.7,1,2020-06-14 23:59:56.210,714774320,NULL,38
2020-06-14 23:59:59.000,6960092,93,6,54.5,-35.5,1,2020-06-15 00:00:00.063,714774458,NULL,38
2020-06-14 23:59:59.000,7002373,94,14,146.9,-20.0,1,2020-06-14 23:59:29.003,714773139,NULL,38
2020-06-14 23:59:59.000,7085216,195,131,261.0,-115.3,200,2020-06-14 23:59:27.100,714773067,NULL,38
2020-06-14 23:59:59.000,7085456,195,138,349.0,-77.1,200,2020-06-14 23:59:27.257,714773080,NULL,38
2020-06-14 23:59:59.000,7085864,195,144,183.0,-69.0,200,2020-06-14 23:59:27.193,714773075,NULL,38
2020-06-14 23:59:59.000,7088469,195,134,346.0,-30.3,200,2020-06-14 23:59:27.397,714773085,NULL,38
2020-06-14 23:59:59.000,7090281,195,136,327.0,-18.1,200,2020-06-14 23:59:27.507,714773092,NULL,38
2020-06-14 23:59:59.000,7131528,71,106,64.0,-20.1,200,2020-06-15 00:00:26.333,714773077,259861343,0
2020-06-14 23:59:59.000,7138036,94,11,43.4,-24.9,1,2020-06-14 23:59:28.537,714773126,NULL,38
2020-06-14 23:59:59.000,7331834,71,106,55.0,-18.0,200,2020-06-15 00:00:26.350,714773079,259861344,0
2020-06-14 23:59:59.000,7737321,83,113,277.0,68.0,200,2020-06-15 00:00:27.503,714773112,259861347,0
2020-06-14 23:59:59.000,8002580,82,6,44.6,-24.1,1,2020-06-15 00:00:29.063,714773177,NULL,0
2020-06-14 23:59:59.000,8018829,195,131,261.0,-33.7,200,2020-06-14 23:59:27.147,714773071,NULL,38
2020-06-14 23:59:59.000,8159073,93,6,57.4,-35.6,1,2020-06-15 00:00:00.127,714774461,NULL,38
2020-06-14 23:59:59.000,8929337,66,9,49.5,-47.2,1,2020-06-14 23:59:56.257,714774321,NULL,38
2020-06-14 23:59:59.000,9051166,195,131,259.0,-39.9,200,2020-06-14 23:59:27.303,714773082,NULL,38
2020-06-14 23:59:59.000,9051375,195,138,349.0,-28.8,200,2020-06-14 23:59:27.303,714773083,NULL,38
2020-06-15 00:00:00.000,483160,66,9,44.9,-50.1,1,2020-06-15 23:59:44.713,722150079,NULL,38
2020-06-15 00:00:00.000,558307,93,6,56.9,-35.1,1,2020-06-15 00:00:00.343,714774474,NULL,38
2020-06-15 00:00:00.000,1129662,71,106,52.0,-20.2,200,2020-06-15 00:00:27.520,714773114,259861348,0
2020-06-15 00:00:00.000,1329760,71,106,50.0,-22.1,200,2020-06-15 00:00:27.533,714773116,259861349,0
2020-06-15 00:00:00.000,1418475,61,51,58.3,-42.0,1,2020-06-16 00:00:30.493,722148873,NULL,0
2020-06-15 00:00:00.000,1483155,66,9,43.0,-50.8,1,2020-06-15 23:59:44.837,722150088,NULL,38
2020-06-15 00:00:00.000,1865570,75,109,211.0,40.4,200,2020-06-14 23:59:12.697,714773087,NULL,40
2020-06-15 00:00:00.000,1868660,251,114,18.0,-30.2,200,2020-06-14 23:59:12.760,714773090,NULL,40
2020-06-15 00:00:00.000,1962099,93,6,48.0,-33.1,1,2020-06-15 00:00:00.970,714774517,NULL,38
2020-06-15 00:00:00.000,2439584,94,2,354.9,-25.8,1,2020-06-15 23:59:29.033,722148653,NULL,38
2020-06-15 00:00:00.000,2445796,93,3,339.0,-19.2,1,2020-06-15 23:59:30.127,722148746,NULL,38
2020-06-15 00:00:00.000,2448484,61,22,281.8,64.1,1,2020-06-16 00:00:30.540,722148885,NULL,0
2020-06-15 00:00:00.000,2449779,94,7,339.0,77.1,1,2020-06-15 23:59:29.160,722148655,NULL,38
2020-06-15 00:00:00.000,2454501,93,7,356.5,-17.2,1,2020-06-15 23:59:30.203,722148754,NULL,38
2020-06-15 00:00:00.000,2458763,93,16,338.0,39.6,1,2020-06-15 23:59:30.033,722148739,NULL,38
2020-06-15 00:00:00.000,2487192,24,12,6.7,-23.3,1,2020-06-15 23:59:14.320,722148660,NULL,40
2020-06-15 00:00:00.000,2529478,71,106,57.0,-22.0,200,2020-06-15 00:00:27.550,714773117,259861350,0
2020-06-15 00:00:00.000,2580047,71,106,49.0,-28.3,200,2020-06-15 00:00:27.580,714773119,259861351,0
2020-06-15 00:00:00.000,2618119,61,51,57.7,-41.9,1,2020-06-16 00:00:30.510,722148876,NULL,0
2020-06-15 00:00:00.000,2626550,71,106,48.0,-28.5,200,2020-06-15 00:00:27.597,714773121,259861352,0
2020-06-15 00:00:00.000,2759387,93,6,57.6,-35.7,1,2020-06-15 00:00:01.030,714774522,NULL,38
